,date,species,bands,sx,sy
1294,7/14/2015,GRSP,RS-WR,710029,4330608
1293,7/14/2015,GRSP,RS-WR,710039,4330646
1128,7/1/2015,GRSP,RS-WR,709944,4330672
951,6/13/2015,GRSP,RS-WY,711680,4329730
2913,6/15/2017,GRSP,RS-WY,711822,4329769
2912,6/15/2017,GRSP,RS-WY,711839,4329772
2920,6/15/2017,GRSP,RS-WY,711820,4329772
2934,6/15/2017,GRSP,RS-WY,711813,4329786
1254,7/9/2015,GRSP,RS-YB,707204,4327692
2959,6/16/2017,GRSP,RS-YB,710875,4332057
1455,7/22/2015,GRSP,RS-YB,713123,4334392
1610,8/4/2015,GRSP,RS-YB,713134,4334401
2556,7/27/2016,GRSP,RS-YG,711588,4330248
2558,7/27/2016,GRSP,RS-YG,711580,4330255
2551,7/27/2016,GRSP,RS-YG,711580,4330260
2463,7/19/2016,GRSP,RS-YG,711539,4330278
2487,7/19/2016,GRSP,RS-YG,711551,4330284
2492,7/19/2016,GRSP,RS-YG,711532,4330290
1620,8/6/2015,GRSP,RS-YK,713444,4334294
1612,8/6/2015,GRSP,RS-YK,713478,4334303
1388,7/17/2015,GRSP,RS-YK,713466,4334314
1626,8/6/2015,GRSP,RS-YK,713472,4334331
1545,7/27/2015,GRSP,RS-YK,713482,4334351
1390,7/17/2015,GRSP,RS-YK,713473,4334356
1083,6/27/2015,GRSP,RS-YK,713472,4334360
844,6/2/2015,GRSP,RS-YO,712659,4329630
1274,7/13/2015,GRSP,RS-YP,713151,4334380
1477,7/24/2015,GRSP,RS-YP,713120,4334405
1130,7/1/2015,GRSP,RS-YP,713180,4334409
1018,6/23/2015,GRSP,RS-YP,713157,4334412
1057,6/25/2015,GRSP,RS-YP,713157,4334412
1299,7/15/2015,GRSP,RS-YP,713147,4334426
1099,6/29/2015,GRSP,RS-YP,713144,4334431
1615,8/6/2015,GRSP,RS-YP,713061,4334433
1652,8/8/2015,GRSP,RS-YP,713134,4334438
1266,7/11/2015,GRSP,RS-YP,713116,4334444
1369,7/17/2015,GRSP,RS-YP,713117,4334447
1661,8/10/2015,GRSP,RS-YP,713073,4334448
1079,6/27/2015,GRSP,RS-YP,713102,4334449
1092,6/29/2015,GRSP,RS-YP,713102,4334449
1616,8/6/2015,GRSP,RS-YP,713069,4334453
1244,7/8/2015,GRSP,RS-YP,713025,4334515
3880,7/16/2018,GRSP,RS-YR,713570,4335550
996,6/20/2015,GRSP,RS-YW,710704,4330242
2239,6/22/2016,GRSP,RS-YW,710634,4331620
2204,6/22/2016,GRSP,RS-YW,710631,4331636
2202,6/22/2016,GRSP,RS-YW,710629,4331651
2401,7/9/2016,GRSP,RS-YW,710657,4331734
986,6/17/2015,GRSP,RS-YY,710932,4331452
1385,7/17/2015,GRSP,RS-YY,713122,4334215
1556,7/27/2015,GRSP,RS-YY,713065,4334224
1349,7/17/2015,GRSP,RS-YY,713115,4334226
1554,7/27/2015,GRSP,RS-YY,713047,4334227
1552,7/27/2015,GRSP,RS-YY,713083,4334230
