,date,species,bands,sx,sy,time
391,6/8/2021,GRSP,GS-RY,709926,4327921,2625
958,7/27/2021,GRSP,YG-SB,709995,4328034,2674
496,6/16/2021,GRSP,BG-SP,710003,4328126,2633
486,6/16/2021,GRSP,BG-SP,710013,4328097,2633
485,6/16/2021,GRSP,BG-SP,710017,4328111,2633
954,7/27/2021,GRSP,YG-SB,710017,4327992,2674
943,7/27/2021,GRSP,YG-SB,710027,4328034,2674
605,6/28/2021,GRSP,YG-SB,710032,4328136,2645
607,6/28/2021,GRSP,SR-GO,710265,4328086,2645
145,5/22/2021,GRSP,OY-SG,710348,4328814,2608
149,5/22/2021,GRSP,OY-SG,710353,4328802,2608
289,6/1/2021,GRSP,OY-SG,710363,4328803,2618
148,5/22/2021,GRSP,OY-SG,710367,4328805,2608
288,6/1/2021,GRSP,OY-SG,710382,4328811,2618
284,6/1/2021,GRSP,OY-SG,710395,4328835,2618
946,7/27/2021,GRSP,OY-SG,710423,4328849,2674
161,5/24/2021,GRSP,AA-SP,710435,4328308,2610
97,5/18/2021,GRSP,OY-SG,710465,4328826,2604
164,5/24/2021,GRSP,GK-RS,710511,4328228,2610
490,6/16/2021,GRSP,OS-WD,710550,4330299,2633
89,5/18/2021,GRSP,SR-YK,710554,4328746,2604
686,7/2/2021,GRSP,OS-WD,710566,4330285,2649
959,7/28/2021,GRSP,OS-WD,710575,4330255,2675
258,5/27/2021,GRSP,OS-WD,710579,4330291,2613
264,5/27/2021,GRSP,RB-SK,710579,4330291,2613
494,6/16/2021,GRSP,OS-WD,710594,4330294,2633
724,7/8/2021,GRSP,OS-WD,710596,4330246,2655
960,7/28/2021,GRSP,OS-WD,710596,4330247,2675
927,7/24/2021,GRSP,OS-WD,710597,4330254,2671
487,6/16/2021,GRSP,OY-SG,710597,4328693,2633
580,6/23/2021,GRSP,OW-RS,710599,4330228,2640
588,6/23/2021,GRSP,OW-RS,710599,4330228,2640
495,6/16/2021,GRSP,OY-SG,710601,4328686,2633
725,7/8/2021,GRSP,OS-WD,710602,4330255,2655
961,7/28/2021,GRSP,OS-WD,710603,4330256,2675
798,7/14/2021,GRSP,OS-WD,710610,4330194,2661
799,7/14/2021,GRSP,OS-WD,710610,4330182,2661
272,5/28/2021,GRSP,KS-GO,710618,4331694,2614
926,7/24/2021,GRSP,OS-WD,710622,4330227,2671
608,6/28/2021,GRSP,OY-SG,710626,4328684,2645
491,6/16/2021,GRSP,OY-SG,710632,4328679,2633
802,7/14/2021,GRSP,OS-WD,710635,4330214,2661
823,7/19/2021,GRSP,OY-SG,710644,4328596,2666
925,7/24/2021,GRSP,OS-WD,710664,4330226,2671
388,6/8/2021,GRSP,OY-SG,710664,4328720,2625
591,6/23/2021,GRSP,OW-RS,710666,4329268,2640
822,7/19/2021,GRSP,OY-SG,710669,4328669,2666
386,6/8/2021,GRSP,OY-SG,710675,4328719,2625
489,6/16/2021,GRSP,KS-GD,710681,4328624,2633
379,6/8/2021,GRSP,OY-SG,710681,4328706,2625
147,5/22/2021,GRSP,SR-AG,710684,4328415,2608
493,6/16/2021,GRSP,KS-GD,710696,4328626,2633
721,7/7/2021,GRSP,OY-SG,710696,4328626,2654
155,5/22/2021,GRSP,SR-AG,710701,4328426,2608
373,6/7/2021,GRSP,BR-SK,710704,4330243,2624
146,5/22/2021,GRSP,SR-AG,710704,4328433,2608
337,6/3/2021,GRSP,SD-PA,710711,4331138,2620
374,6/7/2021,GRSP,BR-SK,710712,4330232,2624
827,7/20/2021,GRSP,RW-SK,710722,4330230,2667
316,6/3/2021,GRSP,SD-PA,710722,4331174,2620
163,5/24/2021,GRSP,SD-PA,710725,4331141,2610
710,7/6/2021,GRSP,YB-PS,710725,4331159,2653
661,7/1/2021,GRSP,DG-SD,710734,4331030,2648
323,6/3/2021,GRSP,SD-PA,710739,4331171,2620
167,5/25/2021,GRSP,DG-SD,710741,4331021,2611
828,7/20/2021,GRSP,RW-SK,710746,4330221,2667
8,5/5/2021,GRSP,SK-YP,710748,4330898,2591
876,7/21/2021,GRSP,SR-YK,710750,4328759,2668
657,7/1/2021,GRSP,DG-SD,710753,4331012,2648
140,5/20/2021,GRSP,DG-SD,710754,4330877,2606
914,7/23/2021,GRSP,DP-OS,710754,4331978,2670
139,5/20/2021,GRSP,DG-SD,710755,4330887,2606
921,7/23/2021,GRSP,DP-OS,710756,4331989,2670
831,7/20/2021,GRSP,RW-SK,710756,4330260,2667
913,7/23/2021,GRSP,DP-OS,710762,4331960,2670
663,7/1/2021,GRSP,GS-OP,710763,4332042,2648
492,6/16/2021,GRSP,DG-SD,710764,4330869,2633
669,7/1/2021,GRSP,GS-OP,710764,4332060,2648
144,5/20/2021,GRSP,DG-SD,710765,4330862,2606
527,6/19/2021,GRSP,DG-SD,710768,4330857,2636
683,7/2/2021,GRSP,DP-OS,710768,4331972,2649
178,5/25/2021,GRSP,DG-SD,710771,4330980,2611
776,7/13/2021,GRSP,DP-OS,710771,4331974,2660
142,5/20/2021,GRSP,DG-SD,710773,4330844,2606
660,7/1/2021,GRSP,GS-OP,710773,4332074,2648
170,5/25/2021,GRSP,DG-SD,710774,4331000,2611
267,5/28/2021,GRSP,YS-KB,710787,4332387,2614
786,7/13/2021,GRSP,DP-OS,710788,4331975,2660
787,7/13/2021,GRSP,DP-OS,710789,4331955,2660
775,7/13/2021,GRSP,GS-OP,710799,4332050,2660
376,6/7/2021,GRSP,BR-SK,710800,4330254,2624
269,5/28/2021,GRSP,GS-OP,710805,4332092,2614
270,5/28/2021,GRSP,SW-AK,710805,4332092,2614
275,5/29/2021,GRSP,DP-SG,710812,4330797,2615
783,7/13/2021,GRSP,GS-OP,710812,4332071,2660
521,6/18/2021,GRSP,DS-KW,710815,4331723,2635
520,6/18/2021,GRSP,SO-Wx,710815,4331723,2635
796,7/13/2021,GRSP,GS-OP,710816,4332050,2660
273,5/29/2021,GRSP,DP-SG,710827,4330778,2615
793,7/13/2021,GRSP,WK-SY,710833,4331996,2660
522,6/18/2021,GRSP,BK-SY,710834,4331944,2635
684,7/2/2021,GRSP,AS-KW,710835,4332027,2649
688,7/2/2021,GRSP,PS-OG,710835,4332027,2649
274,5/29/2021,GRSP,DP-SG,710837,4330766,2615
905,7/23/2021,GRSP,BK-SY,710840,4331957,2670
922,7/23/2021,GRSP,AO-KS,710842,4332119,2670
533,6/19/2021,GRSP,AO-KS,710844,4332149,2636
916,7/23/2021,GRSP,BK-SY,710845,4331948,2670
907,7/23/2021,GRSP,PS-OG,710846,4332058,2670
175,5/25/2021,GRSP,DP-SG,710847,4330758,2611
7,5/5/2021,GRSP,SB-GY,710848,4330828,2591
902,7/23/2021,GRSP,BK-SY,710850,4331978,2670
189,5/25/2021,GRSP,DP-SG,710850,4330776,2611
912,7/23/2021,GRSP,AO-KS,710855,4332117,2670
322,6/3/2021,GRSP,AO-KS,710856,4332132,2620
187,5/25/2021,GRSP,DP-SG,710859,4330744,2611
797,7/13/2021,GRSP,WK-SY,710860,4331984,2660
682,7/2/2021,GRSP,AO-KS,710861,4332156,2649
681,7/2/2021,GRSP,PO-SY,710861,4332156,2649
266,5/28/2021,GRSP,AO-KS,710862,4332182,2614
176,5/25/2021,GRSP,DP-SG,710862,4330782,2611
903,7/23/2021,GRSP,PS-OG,710862,4332062,2670
271,5/28/2021,GRSP,YO-PS,710862,4332182,2614
904,7/23/2021,GRSP,PS-OG,710865,4332040,2670
676,7/1/2021,GRSP,AO-KS,710871,4332128,2648
911,7/23/2021,GRSP,AO-KS,710871,4332177,2670
313,6/3/2021,GRSP,AO-KS,710876,4332151,2620
166,5/25/2021,GRSP,DP-SG,710877,4330778,2611
529,6/19/2021,GRSP,AO-KS,710879,4332128,2636
920,7/23/2021,GRSP,SK-DG,710881,4332090,2670
317,6/3/2021,GRSP,AO-KS,710885,4332131,2620
915,7/23/2021,GRSP,SK-DG,710886,4332105,2670
689,7/2/2021,GRSP,SK-DG,710894,4332080,2649
674,7/1/2021,GRSP,SG-GP,710903,4331845,2648
685,7/2/2021,GRSP,BS-RG,710904,4332231,2649
923,7/23/2021,GRSP,SK-DG,710912,4332083,2670
19,5/7/2021,GRSP,BR-SG,710927,4330770,2593
677,7/1/2021,GRSP,SG-GP,710928,4331821,2648
523,6/18/2021,GRSP,SG-GP,710935,4331822,2635
16,5/7/2021,GRSP,BR-SG,710936,4330765,2593
2,4/24/2021,GRSP,SD-PD,710936,4330698,2580
1,4/24/2021,GRSP,WO-KS,710936,4330698,2580
17,5/7/2021,GRSP,BR-SG,710938,4330772,2593
63,5/17/2021,GRSP,DG-DS,710944,4330702,2603
728,7/8/2021,GRSP,SD-PD,710944,4331850,2655
26,5/7/2021,GRSP,DP-SG,710963,4330677,2593
687,7/2/2021,GRSP,SG-GP,710963,4331851,2649
32,5/7/2021,GRSP,DP-SG,710972,4330660,2593
671,7/1/2021,GRSP,SG-GP,710976,4331845,2648
30,5/7/2021,GRSP,DP-SG,710982,4330685,2593
3,5/5/2021,GRSP,DP-SG,710992,4330780,2591
528,6/19/2021,GRSP,SK-YR,711006,4330966,2636
532,6/19/2021,GRSP,SK-YR,711009,4330990,2636
417,6/10/2021,GRSP,SK-YP,711011,4330907,2627
174,5/25/2021,GRSP,SK-YO,711026,4330904,2611
410,6/10/2021,GRSP,SK-YP,711026,4330930,2627
171,5/25/2021,GRSP,SK-YO,711030,4330926,2611
60,5/17/2021,GRSP,YS-PB,711033,4330741,2603
203,5/25/2021,GRSP,YS-RB,711037,4330687,2611
193,5/25/2021,GRSP,YS-RB,711038,4330688,2611
61,5/17/2021,GRSP,YS-PB,711050,4330753,2603
72,5/17/2021,GRSP,YS-PB,711052,4330739,2603
173,5/25/2021,GRSP,SK-YO,711053,4330901,2611
4,5/5/2021,GRSP,BR-SG,711059,4330741,2591
190,5/25/2021,GRSP,YS-RB,711063,4330688,2611
15,5/7/2021,GRSP,GS-WR,711066,4330884,2593
195,5/25/2021,GRSP,YS-RB,711067,4330678,2611
20,5/7/2021,GRSP,GS-WR,711077,4330897,2593
824,7/19/2021,GRSP,RG-SD,711077,4328515,2666
18,5/7/2021,GRSP,GS-WR,711080,4330866,2593
825,7/19/2021,GRSP,RG-SD,711085,4328476,2666
950,7/27/2021,GRSP,RG-SD,711086,4328498,2674
6,5/5/2021,GRSP,GS-WR,711093,4330879,2591
5,5/5/2021,GRSP,YS-RB,711093,4330879,2591
31,5/7/2021,GRSP,YS-RB,711102,4330673,2593
304,6/2/2021,GRSP,GS-BP,711104,4328322,2619
821,7/19/2021,GRSP,RG-SD,711108,4328454,2666
407,6/9/2021,GRSP,GS-WR,711109,4330864,2626
518,6/17/2021,GRSP,GS-WR,711116,4330856,2634
27,5/7/2021,GRSP,YS-RB,711119,4330691,2593
509,6/17/2021,GRSP,GS-WR,711123,4330847,2634
953,7/27/2021,GRSP,RG-SD,711124,4328457,2674
29,5/7/2021,GRSP,SB-GY,711124,4330653,2593
24,5/7/2021,GRSP,SB-GY,711128,4330659,2593
198,5/25/2021,GRSP,SB-GY,711134,4330596,2611
372,6/5/2021,GRSP,DP-SG,711139,4330414,2622
366,6/5/2021,GRSP,DP-SG,711141,4330424,2622
949,7/27/2021,GRSP,RG-SD,711143,4328500,2674
418,6/10/2021,GRSP,GS-WR,711159,4331000,2627
202,5/25/2021,GRSP,SB-GY,711163,4330590,2611
439,6/11/2021,GRSP,KS-GB,711164,4331595,2628
409,6/10/2021,GRSP,GS-WR,711168,4331026,2627
415,6/10/2021,GRSP,GS-WR,711168,4331002,2627
371,6/5/2021,GRSP,DP-SG,711170,4330454,2622
28,5/7/2021,GRSP,SB-GY,711171,4330622,2593
305,6/2/2021,GRSP,GS-BP,711174,4328887,2619
441,6/11/2021,GRSP,BW-SB,711205,4331296,2628
442,6/11/2021,GRSP,RO-SW,711205,4331296,2628
199,5/25/2021,GRSP,SB-GY,711205,4330554,2611
658,7/1/2021,GRSP,RG-SD,711209,4331140,2648
672,7/1/2021,GRSP,RG-SD,711209,4331131,2648
667,7/1/2021,GRSP,RG-SD,711214,4331115,2648
78,5/17/2021,GRSP,YS-OP,711214,4330381,2603
438,6/11/2021,GRSP,RG-SD,711216,4331151,2628
435,6/11/2021,GRSP,BO-BS,711221,4331783,2628
434,6/11/2021,GRSP,RR-SD,711221,4331783,2628
778,7/13/2021,GRSP,DW-KS,711225,4331277,2660
314,6/3/2021,GRSP,KS-GB,711229,4331560,2620
